,cell_0_M_0,cell_0_M_1,cell_0_AHL_0,cell_0_AHL_1,cell_0_S_0,cell_0_Sens_0,cell_0_Sens_1,cell_1_M_0,cell_1_M_1,cell_1_AHL_0,cell_1_AHL_1,cell_1_S_0,cell_1_Sens_0,cell_1_Sens_1
0,0,,1,2,glu,mccB,mccV,3,,1,2,glu,mccB,mccV
1,0,,1,2,glu,mccB,mccV,3,,1,2,glu,mccB,
2,0,,1,2,glu,mccB,mccV,3,,1,2,glu,mccV,
3,0,,1,2,glu,mccB,mccV,3,,1,2,glu,,
4,0,,1,2,glu,mccB,mccV,3,,1,,glu,mccB,mccV
5,0,,1,2,glu,mccB,mccV,3,,1,,glu,mccB,
6,0,,1,2,glu,mccB,mccV,3,,1,,glu,mccV,
7,0,,1,2,glu,mccB,mccV,3,,1,,glu,,
8,0,,1,2,glu,mccB,mccV,3,,2,,glu,mccB,mccV
9,0,,1,2,glu,mccB,mccV,3,,2,,glu,mccB,
10,0,,1,2,glu,mccB,mccV,3,,2,,glu,mccV,
11,0,,1,2,glu,mccB,mccV,3,,2,,glu,,
12,0,,1,2,glu,mccB,mccV,3,,,,glu,mccB,mccV
13,0,,1,2,glu,mccB,mccV,3,,,,glu,mccB,
14,0,,1,2,glu,mccB,mccV,3,,,,glu,mccV,
15,0,,1,2,glu,mccB,mccV,3,,,,glu,,
16,0,,1,2,glu,mccB,,3,,1,2,glu,mccB,mccV
17,0,,1,2,glu,mccB,,3,,1,2,glu,mccV,
18,0,,1,2,glu,mccB,,3,,1,,glu,mccB,mccV
19,0,,1,2,glu,mccB,,3,,1,,glu,mccV,
20,0,,1,2,glu,mccB,,3,,2,,glu,mccB,mccV
21,0,,1,2,glu,mccB,,3,,2,,glu,mccV,
22,0,,1,2,glu,mccB,,3,,,,glu,mccB,mccV
23,0,,1,2,glu,mccB,,3,,,,glu,mccV,
24,0,,1,2,glu,mccV,,2,,2,,glu,mccV,
25,0,,1,2,glu,mccV,,2,,2,,glu,,
26,0,,1,2,glu,mccV,,3,,1,2,glu,mccB,mccV
27,0,,1,2,glu,mccV,,3,,1,2,glu,mccB,
28,0,,1,2,glu,mccV,,3,,1,,glu,mccB,mccV
29,0,,1,2,glu,mccV,,3,,1,,glu,mccB,
30,0,,1,2,glu,mccV,,3,,2,,glu,mccB,mccV
31,0,,1,2,glu,mccV,,3,,2,,glu,mccB,
32,0,,1,2,glu,mccV,,3,,,,glu,mccB,mccV
33,0,,1,2,glu,mccV,,3,,,,glu,mccB,
34,0,,1,2,glu,,,2,,2,,glu,mccV,
35,0,,1,2,glu,,,3,,1,2,glu,mccB,mccV
36,0,,1,2,glu,,,3,,1,,glu,mccB,mccV
37,0,,1,2,glu,,,3,,2,,glu,mccB,mccV
38,0,,1,2,glu,,,3,,,,glu,mccB,mccV
39,0,,1,,glu,mccB,mccV,1,,1,,glu,mccB,mccV
40,0,,1,,glu,mccB,mccV,1,,1,,glu,mccB,
41,0,,1,,glu,mccB,mccV,1,,1,,glu,mccV,
42,0,,1,,glu,mccB,mccV,1,,1,,glu,,
43,0,,1,,glu,mccB,mccV,1,,,,glu,mccB,mccV
44,0,,1,,glu,mccB,mccV,1,,,,glu,mccB,
45,0,,1,,glu,mccB,mccV,1,,,,glu,mccV,
46,0,,1,,glu,mccB,mccV,1,,,,glu,,
47,0,,1,,glu,mccB,mccV,3,,1,2,glu,mccB,mccV
48,0,,1,,glu,mccB,mccV,3,,1,2,glu,mccB,
49,0,,1,,glu,mccB,mccV,3,,1,2,glu,mccV,
50,0,,1,,glu,mccB,mccV,3,,1,2,glu,,
51,0,,1,,glu,mccB,mccV,3,,2,,glu,mccB,mccV
52,0,,1,,glu,mccB,mccV,3,,2,,glu,mccB,
53,0,,1,,glu,mccB,mccV,3,,2,,glu,mccV,
54,0,,1,,glu,mccB,mccV,3,,2,,glu,,
55,0,,1,,glu,mccB,,1,,1,,glu,mccB,mccV
56,0,,1,,glu,mccB,,1,,1,,glu,mccV,
57,0,,1,,glu,mccB,,1,,,,glu,mccB,mccV
58,0,,1,,glu,mccB,,1,,,,glu,mccV,
59,0,,1,,glu,mccB,,3,,1,2,glu,mccB,mccV
60,0,,1,,glu,mccB,,3,,1,2,glu,mccV,
61,0,,1,,glu,mccB,,3,,2,,glu,mccB,mccV
62,0,,1,,glu,mccB,,3,,2,,glu,mccV,
63,0,,1,,glu,mccV,,0,,1,,glu,,
64,0,,1,,glu,mccV,,0,,,,glu,mccV,
65,0,,1,,glu,mccV,,0,,,,glu,,
66,0,,1,,glu,mccV,,1,,1,,glu,mccB,mccV
67,0,,1,,glu,mccV,,1,,1,,glu,mccB,
68,0,,1,,glu,mccV,,1,,,,glu,mccB,mccV
69,0,,1,,glu,mccV,,1,,,,glu,mccB,
70,0,,1,,glu,mccV,,2,,2,,glu,mccV,
71,0,,1,,glu,mccV,,2,,2,,glu,,
72,0,,1,,glu,mccV,,3,,1,2,glu,mccB,mccV
73,0,,1,,glu,mccV,,3,,1,2,glu,mccB,
74,0,,1,,glu,mccV,,3,,2,,glu,mccB,mccV
75,0,,1,,glu,mccV,,3,,2,,glu,mccB,
76,0,,1,,glu,mccV,,,,1,,glu,mccV,
77,0,,1,,glu,mccV,,,,1,,glu,,
78,0,,1,,glu,mccV,,,,,,glu,mccV,
79,0,,1,,glu,mccV,,,,,,glu,,
80,0,,1,,glu,,,0,,,,glu,mccV,
81,0,,1,,glu,,,1,,1,,glu,mccB,mccV
82,0,,1,,glu,,,1,,,,glu,mccB,mccV
83,0,,1,,glu,,,2,,2,,glu,mccV,
84,0,,1,,glu,,,3,,1,2,glu,mccB,mccV
85,0,,1,,glu,,,3,,2,,glu,mccB,mccV
86,0,,1,,glu,,,,,1,,glu,mccV,
87,0,,1,,glu,,,,,,,glu,mccV,
88,0,,2,,glu,mccB,mccV,3,,1,2,glu,mccB,mccV
89,0,,2,,glu,mccB,mccV,3,,1,2,glu,mccB,
90,0,,2,,glu,mccB,mccV,3,,1,2,glu,mccV,
91,0,,2,,glu,mccB,mccV,3,,1,2,glu,,
92,0,,2,,glu,mccB,mccV,3,,1,,glu,mccB,mccV
93,0,,2,,glu,mccB,mccV,3,,1,,glu,mccB,
94,0,,2,,glu,mccB,mccV,3,,1,,glu,mccV,
95,0,,2,,glu,mccB,mccV,3,,1,,glu,,
96,0,,2,,glu,mccB,,3,,1,2,glu,mccB,mccV
97,0,,2,,glu,mccB,,3,,1,2,glu,mccV,
98,0,,2,,glu,mccB,,3,,1,,glu,mccB,mccV
99,0,,2,,glu,mccB,,3,,1,,glu,mccV,
100,0,,2,,glu,mccV,,3,,1,2,glu,mccB,mccV
101,0,,2,,glu,mccV,,3,,1,2,glu,mccB,
102,0,,2,,glu,mccV,,3,,1,,glu,mccB,mccV
103,0,,2,,glu,mccV,,3,,1,,glu,mccB,
104,0,,2,,glu,,,3,,1,2,glu,mccB,mccV
105,0,,2,,glu,,,3,,1,,glu,mccB,mccV
106,0,,,,glu,mccB,mccV,1,,1,,glu,mccB,mccV
107,0,,,,glu,mccB,mccV,1,,1,,glu,mccB,
108,0,,,,glu,mccB,mccV,1,,1,,glu,mccV,
109,0,,,,glu,mccB,mccV,1,,1,,glu,,
110,0,,,,glu,mccB,mccV,3,,1,2,glu,mccB,mccV
111,0,,,,glu,mccB,mccV,3,,1,2,glu,mccB,
112,0,,,,glu,mccB,mccV,3,,1,2,glu,mccV,
113,0,,,,glu,mccB,mccV,3,,1,2,glu,,
114,0,,,,glu,mccB,,1,,1,,glu,mccB,mccV
115,0,,,,glu,mccB,,1,,1,,glu,mccV,
116,0,,,,glu,mccB,,3,,1,2,glu,mccB,mccV
117,0,,,,glu,mccB,,3,,1,2,glu,mccV,
118,0,,,,glu,mccV,,1,,1,,glu,mccB,mccV
119,0,,,,glu,mccV,,1,,1,,glu,mccB,
120,0,,,,glu,mccV,,3,,1,2,glu,mccB,mccV
121,0,,,,glu,mccV,,3,,1,2,glu,mccB,
122,0,,,,glu,mccV,,,,1,,glu,mccV,
123,0,,,,glu,mccV,,,,1,,glu,,
124,0,,,,glu,,,1,,1,,glu,mccB,mccV
125,0,,,,glu,,,3,,1,2,glu,mccB,mccV
126,0,,,,glu,,,,,1,,glu,mccV,
